时间,开盘,最高,最低,收盘,涨幅,振幅,总手,金额
2018/10/26,1118.175,1146.915,1118.175,1129.676,1.49%,2.58%,"1,383,344,500","6,146,957,600"
2018/10/25,1078.384,1114.653,1070.094,1113.043,0.47%,4.02%,"1,035,959,850","4,471,729,800"
2018/10/24,1098.338,1119.779,1092.62,1107.785,0.13%,2.45%,"907,835,330","4,066,753,400"
2018/10/23,1120.75,1126.918,1093.315,1106.297,-1.63%,2.99%,"1,194,097,240","5,354,921,400"
2018/10/22,1080.626,1132.503,1080.626,1124.576,4.66%,4.83%,"1,508,758,400","6,667,422,700"
2018/10/19,1041.778,1078.366,1030.318,1074.506,1.54%,4.54%,"1,104,383,450","4,652,600,100"
2018/10/18,1093.059,1093.059,1057.338,1058.256,-4.24%,3.23%,"998,675,230","4,073,145,500"
2018/10/17,1104.516,1108.512,1080.906,1105.162,1.26%,2.53%,"839,658,630","3,651,975,300"
2018/10/16,1116.5,1127.197,1087.004,1091.431,-2.46%,3.59%,"872,339,160","3,894,534,200"
2018/10/15,1143.4,1144.829,1116.07,1119.004,-1.96%,2.52%,"996,583,640","4,312,397,500"
2018/10/12,1110.902,1149.239,1092.409,1141.322,1.88%,5.07%,"1,418,252,600","5,727,621,600"
2018/10/11,1165.305,1168.341,1112.807,1120.296,-6.59%,4.63%,"1,514,326,100","5,812,116,800"
2018/10/10,1194.093,1204.782,1187.36,1199.292,0.45%,1.46%,"1,083,735,570","4,551,779,300"
2018/10/9,1184.502,1196.995,1184.502,1193.97,0.57%,1.05%,"944,695,170","3,550,871,500"
2018/10/8,1203.543,1211.151,1184.961,1187.184,-2.93%,2.14%,"1,571,294,900","5,498,571,800"
2018/9/28,1203.731,1225.012,1197.749,1223.022,0.74%,2.25%,"1,981,940,100","6,491,343,300"
2018/9/27,1217.811,1227.48,1213.393,1213.994,-0.42%,1.16%,"928,009,250","4,407,393,400"
2018/9/26,1216.104,1229.723,1215.629,1219.109,0.36%,1.16%,"969,769,530","4,590,689,300"
2018/9/25,1215.55,1222.722,1212.265,1214.679,-0.83%,0.85%,"667,636,760","3,384,022,300"
2018/9/21,1205.429,1225.293,1198.89,1224.893,1.49%,2.19%,"997,521,500","4,581,032,000"
2018/9/20,1205.404,1218.121,1203.772,1206.897,0.40%,1.19%,"833,649,460","3,849,562,300"
2018/9/19,1193.65,1212.108,1191.253,1202.041,0.49%,1.74%,"987,202,810","4,770,150,800"
2018/9/18,1152.652,1197.595,1152.652,1196.125,3.36%,3.88%,"1,098,324,920","5,310,895,300"
2018/9/17,1177.195,1177.195,1157.203,1157.203,-2.28%,1.69%,"730,246,610","3,106,473,100"
2018/9/14,1184.557,1194.545,1176.339,1184.206,-0.01%,1.54%,"748,312,290","3,263,096,200"
2018/9/13,1184.882,1190.376,1168.783,1184.349,0.83%,1.84%,"722,297,870","3,438,903,700"
2018/9/12,1178.739,1184.983,1171.639,1174.637,-0.34%,1.13%,"708,489,480","3,558,764,400"
2018/9/11,1213.806,1213.806,1171.45,1178.633,-3.80%,3.46%,"1,365,022,000","7,186,267,000"
2018/9/10,1238.62,1240.541,1222.138,1225.137,-0.47%,1.50%,"611,506,510","3,130,921,400"
2018/9/7,1229.148,1244.414,1223.159,1230.942,1.02%,1.74%,"723,322,930","3,706,211,700"
2018/9/6,1219.406,1234.149,1213.999,1218.486,-0.15%,1.65%,"564,315,090","2,721,824,900"
2018/9/5,1245.232,1245.232,1220.335,1220.335,-2.38%,1.99%,"671,590,330","3,490,294,200"
2018/9/4,1236.167,1256.729,1231.085,1250.077,1.14%,2.07%,"741,044,090","3,728,650,500"
2018/9/3,1238.489,1238.548,1216.567,1235.958,-0.20%,1.77%,"752,709,630","3,748,971,800"
2018/8/31,1237.965,1250.508,1237.266,1238.49,-0.46%,1.06%,"752,259,840","3,600,911,700"
2018/8/30,1270.345,1274.314,1244.161,1244.21,-2.37%,2.37%,"1,046,776,920","5,637,623,300"
2018/8/29,1282.9,1284.245,1272.898,1274.432,-0.91%,0.88%,"757,658,610","3,994,348,600"
2018/8/28,1279.24,1290.717,1275.621,1286.185,0.45%,1.18%,"817,996,590","4,548,743,500"
2018/8/27,1263.291,1280.478,1262.212,1280.478,1.35%,1.45%,"921,569,530","4,707,087,800"
2018/8/24,1270.76,1271.65,1259.622,1263.48,-0.79%,0.94%,"752,879,720","3,829,618,700"
2018/8/23,1281.29,1285.412,1258.39,1273.538,-0.94%,2.10%,"937,108,270","5,237,620,700"
2018/8/22,1291.302,1310.185,1285.633,1285.633,-0.61%,1.90%,"829,589,840","4,530,260,700"
2018/8/21,1289.521,1302.011,1284.531,1293.475,-0.18%,1.35%,"888,058,400","4,974,787,500"
2018/8/20,1272.218,1295.779,1257.969,1295.779,2.16%,2.98%,"954,602,150","5,237,024,800"
2018/8/17,1285.895,1288.373,1263.523,1268.4,-0.25%,1.95%,"972,504,040","5,071,992,400"
2018/8/16,1267.45,1288.316,1259.31,1271.634,-1.38%,2.25%,"1,110,547,410","4,971,083,300"
2018/8/15,1320.945,1323.995,1284.744,1289.422,-2.35%,2.97%,"960,860,300","5,601,542,500"
2018/8/14,1340.206,1342.896,1316.32,1320.401,-1.74%,1.98%,"1,096,845,370","6,874,755,900"
2018/8/13,1306.656,1344.363,1299.598,1343.81,1.81%,3.39%,"1,212,912,380","7,410,359,500"
2018/8/10,1322.16,1327.87,1310.842,1319.901,-0.42%,1.28%,"968,814,350","5,623,833,400"
2018/8/9,1295.55,1333.696,1288.568,1325.435,1.00%,3.44%,"1,283,020,950","6,932,584,500"
2018/8/8,1294.496,1340.403,1291.839,1312.272,0.90%,3.73%,"1,625,425,300","8,802,316,400"
2018/8/7,1261.839,1301.008,1248.65,1300.588,3.59%,4.17%,"1,191,626,110","6,647,002,800"
2018/8/6,1257.717,1271.553,1236.019,1255.536,-0.51%,2.82%,"993,318,970","5,599,533,600"
2018/8/3,1273.713,1293.487,1261.967,1261.967,-1.44%,2.46%,"1,213,732,760","6,827,894,100"
2018/8/2,1273.529,1283.427,1232.669,1280.343,0.20%,3.97%,"1,577,797,600","8,769,790,700"
2018/8/1,1337.159,1340.709,1275.791,1277.77,-3.40%,4.91%,"1,480,962,400","9,047,446,300"
2018/7/31,1323.615,1329.757,1301.249,1322.737,-0.71%,2.14%,"1,029,216,910","5,972,629,900"
2018/7/30,1327.819,1359.124,1323.691,1332.198,0.42%,2.67%,"1,827,252,300","10,083,074,600"
2018/7/27,1318.922,1333.226,1301.675,1326.68,1.84%,2.42%,"1,767,199,900","9,310,444,000"
2018/7/26,1308.932,1316.484,1292.057,1302.703,-1.18%,1.85%,"1,357,808,600","7,250,851,000"
2018/7/25,1282.678,1331.156,1278.099,1318.193,2.56%,4.13%,"2,030,123,800","10,705,729,800"
2018/7/24,1269.334,1320.039,1269.334,1285.259,2.71%,4.05%,"2,240,875,300","13,120,801,400"
2018/7/23,1206.263,1257.683,1204.377,1251.307,2.81%,4.38%,"1,454,597,600","8,204,467,000"
2018/7/20,1194.123,1218.195,1177.832,1217.076,1.57%,3.37%,"1,074,295,480","5,931,049,500"
2018/7/19,1190.463,1210.262,1190.463,1198.272,1.48%,1.68%,"1,082,396,850","6,206,422,400"
2018/7/18,1187.709,1195.923,1179.922,1180.797,-0.47%,1.35%,"621,140,440","3,448,545,500"
2018/7/17,1198.113,1198.729,1172.101,1186.394,-1.49%,2.21%,"681,257,180","4,003,854,300"
2018/7/16,1204.025,1208.179,1196.498,1204.396,-0.04%,0.97%,"666,897,540","3,918,306,600"
2018/7/13,1200.968,1217.288,1185.669,1204.931,0.69%,2.64%,"1,013,872,990","5,734,513,400"
2018/7/12,1176.775,1201.206,1176.775,1196.622,2.33%,2.09%,"1,081,417,660","5,867,366,100"
2018/7/11,1163.668,1170.989,1148.248,1169.326,-1.85%,1.91%,"893,152,600","4,707,546,300"
2018/7/10,1171.321,1202.501,1171.321,1191.319,1.86%,2.67%,"1,041,867,110","5,648,650,700"
2018/7/9,1145.012,1170.057,1144.489,1169.601,2.68%,2.24%,"869,835,050","4,465,600,000"
2018/7/6,1126.884,1153.679,1116.99,1139.02,0.96%,3.25%,"946,010,890","4,415,034,100"
2018/7/5,1163.06,1163.06,1128.206,1128.242,-3.90%,2.97%,"967,824,770","4,563,113,200"
2018/7/4,1171.075,1196.633,1171.075,1174.006,1.37%,2.21%,"1,134,843,390","5,808,584,800"
